prompt,completion
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
b. A process executing on the CPU is interrupted due to an interrupt. This process may not be scheduled immediately on completion of the interrupt handler.

Rubric:
Score 2 (Correct): States True and provides a correct justification referencing it possible different process scheduled after interrupt handler code completed, if time slice process ends while os handling interrupt, and not previous process (e.g., the causal link / mechanism).
Score 1 (Partial): States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
nan

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
a. The pipe system call creates two file descriptors fd[0] and fd[1]. Writes using fd[1] can be read using fd[0] but not vice-versa.

Rubric:
Score 2 (Correct): States True and provides a correct justification referencing write can only done at fd 1, justification, and descriptors (e.g., the causal link / mechanism).
Score 1 (Partial): States True OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
True. Because the 2 file descriptor [fd0] & [fd1] are connected & we can write only to [fd1] which is read vid [fd0].

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Write any advantage of using TiC/TiN as a tool coating material.

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering write any advantage using tic tin tool coating material, coefficient, and resistance with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: write any advantage using tic tin tool coating material, coefficient, and resistance) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention write any advantage using tic tin tool coating material, coefficient, and resistance.

Student Response:
Reduce wear due to abrasion

Please assign a score in {0,1,2}. Output only the number.",0
"Question:
Two      advantages of separating declaration from definition are: .....

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention overriding functions. enhances modularity code. also separates abstraction implementation, easier reader understand. allows easy changing, and code will more clear.

Student Response:
1. increases the readability of code for programmers and easy debugging as more modularity is shown than previous
2.
makes it easy for new people introduced to program to just know what are the functions in class and values to pass and purpose and need not know about working

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
Define Priority Inversion in single line.

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering higher priority process not getting cpu due lower priority process, because lower priority process holds resource, and inversion with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: higher priority process not getting cpu due lower priority process, because lower priority process holds resource, and inversion) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention higher priority process not getting cpu due lower priority process, because lower priority process holds resource, and inversion.

Student Response:
it is a concept in which a high priority process is preempted by OS and a low priority process is scheduled

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
List four factors affecting water consumption.

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering quality water available 6, extent industrialization 4, and climatic conditions 2 with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: quality water available 6, extent industrialization 4, and climatic conditions 2) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention quality water available 6, extent industrialization 4, and climatic conditions 2.

Student Response:
1) Extent of industrialization
2) Population
3)

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
Give any application of broaching process.

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering splines etc. it also used making slots support, precision machining like automotive industries, and machining gears with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: splines etc. it also used making slots support, precision machining like automotive industries, and machining gears) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention splines etc. it also used making slots support, precision machining like automotive industries, and machining gears.

Student Response:
Machining of splines and keyways and odd shapes

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
Q1. State TRUE or FALSE and justify. No correct justification, no marks.
c. A process executing on the CPU is interrupted due to an interrupt. This process is always rescheduled immediately (and control returns back to the paused process) on completion of the interrupt handler to prevent any data loss.

Rubric:
Score 2 (Correct): States False and provides a correct justification referencing completion interrupt handler prevent any data loss, control returns back paused process, and justify. no correct justification (e.g., the causal link / mechanism).
Score 1 (Partial): States False OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
False, It can be scheduled at any time (it should not be immediate) depends on scheduling policy.

Please assign a score in {0,1,2}. Output only the number.",2
"Question:
c. When the fork() system call is made the child process is (almost) identical to the parent
process. In the parent process, the return path from kernel mode to user mode happens via
the trap/interrupt handler (system call is a trap/interrupt).
Explain the return path from the kernel mode to the user mode for the child process.
Specifically, there was no trap in the child process, so how does the child process return from
a trap?

Rubric:
Score 2 (Correct): Clearly and specifically addresses the key requirement by covering it kernel mode. child process needs context execute kernel mode, context execution child setup start execution at start function, and then proceeds rest kernel stack unrolling return user space with accurate details.
Score 1 (Partial): Covers some key elements (at least 2 of: it kernel mode. child process needs context execute kernel mode, context execution child setup start execution at start function, and then proceeds rest kernel stack unrolling return user space) but lacks clarity or misses essential detail.
Score 0 (Incorrect): Does not address the key requirement or fails to mention it kernel mode. child process needs context execute kernel mode, context execution child setup start execution at start function, and then proceeds rest kernel stack unrolling return user space.

Student Response:
Although there was no trap for the newly forked child process, we had indeed set the return address indirectly during fork() by copying the context like EIP value from parent's trapframe to child's trapframe and made the child runnable (but return value is 0 for child)
When the scheduler decides to schedule this child, we return from trap by restoring the user CPL context from the trap frame, & move to the instruction stored in EIP (which was essentially the instruction after fork() in the program).

Please assign a score in {0,1,2}. Output only the number.",1
"Question:
Q1. State TRUE or FALSE and justify. [6 marks] No correct justification, no marks. 

d. An executable (binary) program can be used to instantiate and execute more than one process simuitaneous.y. In such a situation, processes of the same program use the same PCB process-conro.Dock, with a reference counter to indicate number of instances,

Rubric:
Score 2 (Correct): States False and provides a correct justification referencing needs separate os state track its execution memory contents, stack state etc. shared pcb cannot provide semantics, and false each process independent entity (e.g., the causal link / mechanism).
Score 1 (Partial): States False OR gives a mostly correct justification, but the explanation is vague, misses the key link, or omits the explicit truth value.
Score 0 (Incorrect): States the wrong truth value or provides an incorrect/irrelevant justification.

Student Response:
Phase Five
 A binary program can instantiate & execute more than 1
 process simultaneously. Eg: A fork - And the resulting
 multiple processes are different & have diff PCS.

Please assign a score in {0,1,2}. Output only the number.",2
